Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
David Brekalo,MF,si Slovenia,25,1998,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Brian Brobbey,FW,nl Netherlands,21,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Armando Broja,FW,al Albania,22,2001,2,1,108,1.2,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,2,1,4,0,0,0,0,0,0.18,0.06,0.23,0.18,0.23,Matches
Marcelo Brozović,MF,hr Croatia,31,1992,3,3,225,2.5,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,2,13,6,0,0,0,0,0,0.06,0.03,0.09,0.06,0.09,Matches
Jacob Bruun Larsen,FW,dk Denmark,25,1998,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,Matches
Ante Budimir,FW,hr Croatia,32,1991,3,1,122,1.4,0,1,1,0,0,0,0,0,0.8,0.5,1.2,1.7,1,2,5,0,0.74,0.74,0,0.74,0.6,0.87,1.48,0.38,1.25,Matches
Adam Buksa,FW,pl Poland,27,1996,2,2,149,1.7,1,0,1,1,0,0,0,0,0.2,0.2,0.2,0.3,1,1,6,0.6,0,0.6,0.6,0.6,0.1,0.11,0.21,0.1,0.21,Matches
Andrei Burcă,DF,ro Romania,30,1993,4,4,360,4,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,2,6,1,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
Riccardo Calafiori,DF,it Italy,21,2002,3,3,270,3,0,1,1,0,0,0,2,0,0.3,0.3,0.2,0.5,7,11,1,0,0.33,0.33,0,0.33,0.1,0.08,0.17,0.1,0.17,Matches
Hakan Çalhanoğlu,MF,tr Türkiye,29,1994,4,4,355,3.9,1,0,1,1,0,0,2,0,0.4,0.4,0.2,0.6,5,18,12,0.25,0,0.25,0.25,0.25,0.09,0.05,0.14,0.09,0.14,Matches
Eduardo Camavinga,MF,fr France,21,2002,4,1,169,1.9,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,2,12,5,0,0,0,0,0,0.15,0.04,0.2,0.15,0.2,Matches
Andrea Cambiaso,"FW,DF",it Italy,23,2000,3,0,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,Matches
Emre Can,MF,de Germany,30,1994,4,1,102,1.1,1,0,1,1,0,0,0,0,0,0,0,0.1,1,4,1,0.88,0,0.88,0.88,0.88,0.03,0.03,0.06,0.03,0.06,Matches
João Cancelo,"DF,MF",pt Portugal,29,1994,4,4,345,3.8,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.4,14,36,26,0,0,0,0,0,0.02,0.09,0.11,0.02,0.11,Matches
Yannick Carrasco,"DF,FW",be Belgium,30,1993,4,2,218,2.4,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,5,10,12,0,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches
Dani Carvajal,DF,es Spain,32,1992,5,5,469,5.2,1,0,1,1,0,0,3,1,0.5,0.5,0.5,1,11,23,15,0.19,0,0.19,0.19,0.19,0.1,0.09,0.19,0.1,0.19,Matches
Timothy Castagne,DF,be Belgium,28,1995,4,4,357,4,0,0,0,0,0,0,0,0,0,0,0,0,4,11,16,0,0,0,0,0,0,0,0,0,0,Matches
Koen Casteels,GK,be Belgium,31,1992,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Žan Celar,"FW,MF",si Slovenia,24,1999,3,0,67,0.7,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
Zeki Çelik,"DF,MF",tr Türkiye,26,1997,3,1,105,1.2,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,1,3,11,0,0,0,0,0,0.17,0.46,0.63,0.17,0.63,Matches
Václav Černý,MF,cz Czechia,26,1997,1,1,54,0.6,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,1,1,2,0,0,0,0,0,0.81,0.17,0.99,0.81,0.99,Matches
Giorgi Chakvetadze,"MF,FW",ge Georgia,24,1999,4,3,244,2.7,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,8,11,7,0,0,0,0,0,0.02,0.11,0.14,0.02,0.14,Matches
Federico Chiesa,"FW,MF",it Italy,26,1997,4,3,263,2.9,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,14,5,32,0,0,0,0,0,0.06,0.09,0.15,0.06,0.15,Matches
Tomáš Chorý,MF,cz Czechia,29,1995,2,0,36,0.4,0,0,0,0,0,0,0,1,0.4,0.4,0,0.4,0,0,1,0,0,0,0,0,1,0,1,1,1,Matches
Andreas Christensen,DF,dk Denmark,27,1996,4,4,350,3.9,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,1,9,0,0,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches
Ryan Christie,"MF,FW",sct Scotland,28,1995,3,1,99,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,Matches
Mojmir Chytil,FW,cz Czechia,24,1999,3,1,107,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0,1,2,0,0,0,0,0,0.16,0.1,0.26,0.16,0.26,Matches
Alexandru Cicâldău,MF,ro Romania,26,1997,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Florinel Coman,MF,ro Romania,25,1998,2,2,118,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,3,1,4,0,0,0,0,0,0.05,0.05,0.1,0.05,0.1,Matches
Kingsley Coman,MF,fr France,27,1996,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,Matches
Francisco Conceição,"FW,MF",pt Portugal,21,2002,4,1,182,2,1,0,1,1,0,0,1,0,0.9,0.9,1.6,2.5,15,9,34,0.49,0,0.49,0.49,0.49,0.66,1.21,1.88,0.66,1.88,Matches
